tweetDate,content,twitterProfile,tweetUrl,timestamp,query,parsed_tweetDate,date_only
Sat Jul 18 20:35:02 +0000 2020,"Horrific. Ahlam's father then allegedly chased her with a brick and beat her until she died. Witnesses added that he smoked a cigarette and drank tea next to her corpse afterwards #صرخات_أحلام
https://t.co/BTbEvtQtfm",https://twitter.com/The_NewArab,https://twitter.com/The_NewArab/status/1284587504839131137,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-18 20:35:02+00:00,2020-07-18
Sat Jul 18 03:56:42 +0000 2020,"يا وجع القلب #صرخات_احلام 
الواحد بطل عارف شو يكتب شو يحكي ومين يرثي وجع وقهر كبير",https://twitter.com/fidaazaanin,https://twitter.com/fidaazaanin/status/1284336267900190722,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-18 03:56:42+00:00,2020-07-18
Thu Mar 04 07:47:44 +0000 2021,#WomensDay #جرائ_قتل_النساء #Femicide  #womensday2021 #WomanUP #صباح_الخير #صرخات_احلام,https://twitter.com/MajidaHAshour,https://twitter.com/MajidaHAshour/status/1367381228647837696,2025-04-08T12:22:33.977Z,#صرخات_احلام,2021-03-04 07:47:44+00:00,2021-03-04
Sat Aug 01 10:14:22 +0000 2020,"١٣ جريمة قتل ""عائلية"" استهدفت نساء منذ بدء ٢٠٢٠ في الأردن! 

أبرزها:
•أب يقتل ابنته #صرخات_احلام 
•ابن يطعن امه ٣٠ طعنه
•اخ يقتل شقيقاته الثلاث

والقصص مروعة... لا بد من حل سريع!",https://twitter.com/AmmarHendi,https://twitter.com/AmmarHendi/status/1289504740380942336,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-08-01 10:14:22+00:00,2020-08-01
Sun Jul 19 06:35:01 +0000 2020,"Heartbreaking.

Ahlam's father allegedly chased her with a brick and beat her until she died. Witnesses added that he smoked a cigarette and drank tea next to her corpse afterwards #صرخات_أحلام
https://t.co/BTbEvtQtfm",https://twitter.com/The_NewArab,https://twitter.com/The_NewArab/status/1284738497778257920,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-19 06:35:01+00:00,2020-07-19
Fri Jul 24 03:36:16 +0000 2020,"Latest ‘honour killing’ sparks protest, fuels call for change

👉 https://t.co/jPCN3uIckf

#jordan #صرخات_الاردنيات #صرخات_احلام https://t.co/y1aKHknzAW",https://twitter.com/SaddamSayyaleh,https://twitter.com/SaddamSayyaleh/status/1286505450842853377,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-24 03:36:16+00:00,2020-07-24
Thu Jul 23 12:16:15 +0000 2020,"كل ما يتم الهجوم على سيداو وتزييف نصوصها اعيد قراءتها بتمعن، وكل مرة اخرج بنفس النتيجة ان معظم من يهاجم سيداو لم يقرأ نصوصها وتناقل المعلومات غير الصحيحة عن غيره
 للعلم الاردن تحفظ على المادتين ٩ المتعلقة بالجنسية و ١٦ المتعلقة بالزواج
#صرخات_احلام 
#صرخات_الاردنيات",https://twitter.com/HaddadinSamar,https://twitter.com/HaddadinSamar/status/1286273920518311942,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-23 12:16:15+00:00,2020-07-23
Tue Aug 18 04:24:51 +0000 2020,"صباح الخير على الجميع حياكم الله على الواتساب لاستقبال طلباتكم و استفساراتكم جميعها 0501554096
#صرخات_احلام
#نور_الفيصل
#البحر_للجميع
#هند_القحطاني_تغازل_اللورد
#رفيق_الحريري
#تايلور_في_السعوديه_مطلب
#صباح_الخير",https://twitter.com/kh_um_muhammed,https://twitter.com/kh_um_muhammed/status/1295577376605249537,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-08-18 04:24:51+00:00,2020-08-18
Thu Jul 23 23:54:11 +0000 2020,"لفت انتباهي   

ات كثير من الشخصيات  الإعلامية  الأردنية 
كتبت  عن اسراء الغريب  

اعملوا  جولات في حسابات  المذيغين  ومقدمين  البرامج  خلو عندكم رؤيا بعيدة للمواضيع  

لكنها  لم تكتب  عن #صرخات_احلام 

خلوكم  من  القوانين   مع أو ضد 

#الاردن",https://twitter.com/madallh_skaren,https://twitter.com/madallh_skaren/status/1286449561226051584,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-23 23:54:11+00:00,2020-07-23
Sat Jul 18 04:23:53 +0000 2020,"هالحكي بيختصر كل شئ بس نحكي المنظومة كاملة بتقتل النساء.
دم أحلام على إيدهم كلهم #صرخات_أحلام",https://twitter.com/fidaazaanin,https://twitter.com/fidaazaanin/status/1284343108126281728,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-07-18 04:23:53+00:00,2020-07-18
